link,missing_rate,method_type,method,rmse,nrmse,r2,mape
ac-am,0.2,baseline,Mean,122.1,16.13,-0.00016247741034658425,333.69
ac-am,0.2,baseline,Median,123.06,16.26,-0.016025557712594507,339.87
ac-am,0.2,baseline,KNNImputer,122.1,16.13,-0.00016247741034658425,333.69
ac-am,0.2,baseline,ForwardFill,114.22,15.09,0.12466415299827982,263.35
ac-am,0.2,baseline,BackwardFill,118.14,15.61,0.06369142040922582,313.91
ac-am,0.2,baseline,RollingMean,112.88,14.92,0.14517961715542282,263.02
ac-am,0.2,baseline,LinearInterpolation,97.78,12.92,0.35850736266468464,282.27
ac-am,0.2,stacking,StackingRegressor,60.568,8.196,0.6735,451.124
ac-am,0.25,baseline,Mean,124.98,16.56,-0.0013216236052040475,271.33
ac-am,0.25,baseline,Median,126.34,16.74,-0.023254830996786824,276.61
ac-am,0.25,baseline,KNNImputer,124.98,16.56,-0.0013216236052040475,271.33
ac-am,0.25,baseline,ForwardFill,113.59,15.05,0.17278605536805014,214.12
ac-am,0.25,baseline,BackwardFill,124.98,16.56,-0.0014027391811723966,255.11
ac-am,0.25,baseline,RollingMean,111.61,14.79,0.20142006813019842,213.84
ac-am,0.25,baseline,LinearInterpolation,106.25,14.08,0.2762766436429044,229.49
ac-am,0.25,stacking,StackingRegressor,60.86,8.4225,0.6591,588.0875
ac-am,0.3,stacking,StackingRegressor,48.6467,6.74,0.8032,526.5667
ac-am,0.35,stacking,StackingRegressor,48.6467,6.74,0.8032,526.5667
ac-am,0.4,stacking,StackingRegressor,48.6467,6.74,0.8032,526.5667
ac-am,0.45,stacking,StackingRegressor,48.6467,6.74,0.8032,526.5667
ac-am,0.5,stacking,StackingRegressor,48.6467,6.74,0.8032,526.5667
ac-ap,0.2,baseline,Mean,139.36,18.79,-0.001600694354389809,24.4
ac-ap,0.2,baseline,Median,139.64,18.82,-0.005587448373028936,24.52
ac-ap,0.2,baseline,KNNImputer,139.36,18.79,-0.001600694354389809,24.4
ac-ap,0.2,baseline,ForwardFill,132.6,17.87,0.093203020065036,18.16
ac-ap,0.2,baseline,BackwardFill,116.18,15.66,0.3038571674759514,17.97
